Identificador de URL,,Definicion,
Nombre,#UNA LUCRECIA,na,
Categorías,Adultos,na,
Precio,"32,000.00",na,
Precio promocional,,na,
Peso (kg),0.5,defecto,
Alto (cm),18,defecto,
Ancho (cm),13,defecto,
Profundidad (cm),1,defecto,
Stock,2,na,
SKU,6499-WL,Viene como entrada,
Código de barras,9789877476484,Viene como entrada,
Mostrar en tienda,SI,defecto,
Envío sin cargo,NO,defecto,
Descripción,"<br>¿Puede el AMOR curar todas las heridas? ¿Puede la ESPERANZA oírse por encima de la violencia? ¿Puede el DESEO ganarle al miedo? Lucrecia descubre que los cuentos de hadas no existen y que los monstruos acechan en la vida real. Un robo millonario, una familia envuelta en una trama de poder y corrupción y una mujer que, en busca de la libertad, encuentra el amor. Una historia en la que nada es lo parece y la víctima puede ser también la heroína.",rq,
Tags,LIBRO LITERATURA INFANTIL JUVENIL,rq,
Título para SEO,#UNA LUCRECIA,rq,
Descripción para SEO,#UNA LUCRECIALIBRO LITERATURA INFANTIL JUVENILAdultos,rq,
Marca,VERGARA & RIBA EDITORAS,rq,
Producto Físico,SI,defecto,
MPN (Número de pieza del fabricante),9789877476484,ISBN,
Sexo,Unisex,rq,
Rango de edad,Adultos,rq,
Costo,,na,
Autor,Mariela Gimenez,rq,
Pag.,688,rq,
EDAD,Adultos,rq,
FOTO TAPA,https://sbslibreria.vtexassets.com/arquivos/ids/5170081-1200-auto?v=638949119610670000&width=1200&height=auto&aspect=true,rq,
Encuadernación,Tapa rústica,rq,
Trailer/Video,,na,
Descripción,"#UNA LUCRECIA  <br>  <br>  DESCRIPCION  <br><br>¿Puede el AMOR curar todas las heridas? ¿Puede la ESPERANZA oírse por encima de la violencia? ¿Puede el DESEO ganarle al miedo? Lucrecia descubre que los cuentos de hadas no existen y que los monstruos acechan en la vida real. Un robo millonario, una familia envuelta en una trama de poder y corrupción y una mujer que, en busca de la libertad, encuentra el amor. Una historia en la que nada es lo parece y la víctima puede ser también la heroína.  <br><br>AUTOR/A Mariela Gimenez  <br><br>CANTIDAD DE PAGINAS 688  <br>  <br>EDAD SUGERIDA Adultos  <br><br>EDITORIAL VERGARA & RIBA EDITORAS  <br><br>ISBN 9789877476484  <br><br>FICHA TECNICA: Tapa rústica",rq,"compuesto: descrpcion, auto, catnidad ed pagina, edad sugerirda, editorial, isbn y fecha tecnica"
