Identificador de URL,Nombre,Categorías,Precio,Precio promocional,Peso (kg),Alto (cm),Ancho (cm),Profundidad (cm),Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,MPN (Número de pieza del fabricante),Sexo,Rango de edad,Costo,Autor,Pag.,EDAD,FOTO TAPA,Encuadernación,Trailer/Video,Descripción Compuesta
,,,,,0.5,18,13,1,,134076,9789915696324,SI,NO,#LOS OPUESTOS - MUEVO Y DESCUBRO  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 2 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915696324  <br><br>FICHA TECNICA: Cartone,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#LOS OPUESTOS - MUEVO Y DESCUBRO,"#LOS OPUESTOS - MUEVO Y DESCUBROLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915696324,Unisex,a partir de 2 años,,NO APLICA,,a partir de 2 años,https://sbslibreria.vtexassets.com/arquivos/ids/5128204/4XwgW8KyiHrc7eA-zKW09fX88aQ-.jpg?v=638881229350800000,Cartone,,#LOS OPUESTOS - MUEVO Y DESCUBRO  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 2 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915696324  <br><br>FICHA TECNICA: Cartone
,,,,,0.5,18,13,1,,134074,9789915696317,SI,NO,#LOS COLORES - MUEVO Y DESCUBRO  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 2 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915696317  <br><br>FICHA TECNICA: Cartone,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#LOS COLORES - MUEVO Y DESCUBRO,"#LOS COLORES - MUEVO Y DESCUBROLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915696317,Unisex,a partir de 2 años,,NO APLICA,,a partir de 2 años,https://sbslibreria.vtexassets.com/arquivos/ids/5128194/Dg-tP36dJaoa8osUD9zLyiGyXJc-.jpg?v=638881224135570000,Cartone,,#LOS COLORES - MUEVO Y DESCUBRO  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 2 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915696317  <br><br>FICHA TECNICA: Cartone
,,,,,0.5,18,13,1,,134045,9789915691299,SI,NO,#BRILLA! EN LA NOCHE DINOSAURIOS - STICKERS CLUB - JUEGOS  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915691299  <br><br>FICHA TECNICA: Tapa rustica,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#BRILLA! EN LA NOCHE DINOSAURIOS - STICKERS CLUB - JUEGOS,"#BRILLA! EN LA NOCHE DINOSAURIOS - STICKERS CLUB - JUEGOSLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915691299,Unisex,a partir de 3 años,,NO APLICA,,a partir de 3 años,https://sbslibreria.vtexassets.com/arquivos/ids/5128085/CgFCdMFobSxMBWdAiH2Tg3VSNaI-.jpg?v=638881128559630000,Tapa rustica,,#BRILLA! EN LA NOCHE DINOSAURIOS - STICKERS CLUB - JUEGOS  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915691299  <br><br>FICHA TECNICA: Tapa rustica
,,,,,0.5,18,13,1,,134063,9789915691275,SI,NO,#LIBRO DE TELA PALABRAS - ORUGUITAS  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 1 año  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915691275  <br><br>FICHA TECNICA: Flexible de tela,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#LIBRO DE TELA PALABRAS - ORUGUITAS,"#LIBRO DE TELA PALABRAS - ORUGUITASLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915691275,Unisex,a partir de 1 año,,NO APLICA,,a partir de 1 año,https://sbslibreria.vtexassets.com/arquivos/ids/5128153/jmzJQy-ZuUYuHj7dGktiVhzmr9M-.jpg?v=638881178953270000,Flexible de tela,,#LIBRO DE TELA PALABRAS - ORUGUITAS  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 1 año  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915691275  <br><br>FICHA TECNICA: Flexible de tela
,,,,,0.5,18,13,1,,134069,9789915691282,SI,NO,#LIBRO DE TELA COLORES - ORUGUITAS  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 1 año  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915691282  <br><br>FICHA TECNICA: Flexible de tela,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#LIBRO DE TELA COLORES - ORUGUITAS,"#LIBRO DE TELA COLORES - ORUGUITASLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915691282,Unisex,a partir de 1 año,,NO APLICA,,a partir de 1 año,https://sbslibreria.vtexassets.com/arquivos/ids/5128186/NFy9Gxc-YwkgM7OGVaP14qZNrM0-.jpg?v=638881212820970000,Flexible de tela,,#LIBRO DE TELA COLORES - ORUGUITAS  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 1 año  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915691282  <br><br>FICHA TECNICA: Flexible de tela
,,,,,0.5,18,13,1,,134063,9789915691305,SI,NO,#LIBRO DE TELA PALABRAS - ORUGUITAS  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 1 año  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915691305  <br><br>FICHA TECNICA: Flexible de tela,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#LIBRO DE TELA PALABRAS - ORUGUITAS,"#LIBRO DE TELA PALABRAS - ORUGUITASLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915691305,Unisex,a partir de 1 año,,NO APLICA,,a partir de 1 año,https://sbslibreria.vtexassets.com/arquivos/ids/5128153/jmzJQy-ZuUYuHj7dGktiVhzmr9M-.jpg?v=638881178953270000,Flexible de tela,,#LIBRO DE TELA PALABRAS - ORUGUITAS  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 1 año  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915691305  <br><br>FICHA TECNICA: Flexible de tela
,,,,,0.5,18,13,1,,134776,9789915691572,SI,NO,#IMPRESIONANTES DINOS - AQUACOLORES  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915691572  <br><br>FICHA TECNICA: Flexible de tela,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#IMPRESIONANTES DINOS - AQUACOLORES,"#IMPRESIONANTES DINOS - AQUACOLORESLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915691572,Unisex,a partir de 3 años,,NO APLICA,,a partir de 3 años,https://sbslibreria.vtexassets.com/arquivos/ids/5131603/UFr7fZQweCM72BRMGqCSXhW0YKo-.jpg?v=638889497789330000,Flexible de tela,,#IMPRESIONANTES DINOS - AQUACOLORES  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915691572  <br><br>FICHA TECNICA: Flexible de tela
,,,,,0.5,18,13,1,,134762,9789915694542,SI,NO,#MI PRIMERA TABLET - PARA APRENDER A ESCRIBIR - TABLET LCD  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 5 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694542  <br><br>FICHA TECNICA: Otros formatos,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#MI PRIMERA TABLET - PARA APRENDER A ESCRIBIR - TABLET LCD,"#MI PRIMERA TABLET - PARA APRENDER A ESCRIBIR - TABLET LCDLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915694542,Unisex,a partir de 5 años,,NO APLICA,,a partir de 5 años,https://sbslibreria.vtexassets.com/arquivos/ids/5131625/fiGvaLsxN-pLEa6-VmURuorGmGg-.jpg?v=638889547156330000,Otros formatos,,#MI PRIMERA TABLET - PARA APRENDER A ESCRIBIR - TABLET LCD  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 5 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694542  <br><br>FICHA TECNICA: Otros formatos
,,,,,0.5,18,13,1,,134776,9789915694573,SI,NO,#IMPRESIONANTES DINOS - AQUACOLORES  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694573  <br><br>FICHA TECNICA: Flexible de tela,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#IMPRESIONANTES DINOS - AQUACOLORES,"#IMPRESIONANTES DINOS - AQUACOLORESLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915694573,Unisex,a partir de 3 años,,NO APLICA,,a partir de 3 años,https://sbslibreria.vtexassets.com/arquivos/ids/5131603/UFr7fZQweCM72BRMGqCSXhW0YKo-.jpg?v=638889497789330000,Flexible de tela,,#IMPRESIONANTES DINOS - AQUACOLORES  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694573  <br><br>FICHA TECNICA: Flexible de tela
,,,,,0.5,18,13,1,,134775,9789915694566,SI,NO,#MAGICAS PALABRAS - AQUACOLORES  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694566  <br><br>FICHA TECNICA: Flexible de tela,"LIBRO INFANTIL, JUVENIL Y EDUCATIVO",#MAGICAS PALABRAS - AQUACOLORES,"#MAGICAS PALABRAS - AQUACOLORESLIBRO INFANTIL, JUVENIL Y EDUCATIVOInfantil, juvenil y educativo",NO APLICA,SI,9789915694566,Unisex,a partir de 3 años,,NO APLICA,,a partir de 3 años,https://sbslibreria.vtexassets.com/arquivos/ids/5131602/U8vhDmBWTzkAzanVV7u3iWImaO4-.jpg?v=638889496359300000,Flexible de tela,,#MAGICAS PALABRAS - AQUACOLORES  <br>  <br>  DESCRIPCION  <br><br>  <br><br>AUTOR/A NO APLICA  <br>  <br>EDAD SUGERIDA a partir de 3 años  <br><br>EDITORIAL NO APLICA  <br><br>ISBN 9789915694566  <br><br>FICHA TECNICA: Flexible de tela
